[2015/05/02 03:15:19 368]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:15:19 377]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:15:19 383]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:15:30 457]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:15:30 459]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:15:30 460]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:18:05 739]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:18:05 749]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:18:05 759]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:18:19 949]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:18:19 951]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:18:19 953]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:21:36 749]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:21:36 760]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:21:36 766]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:21:52 501]:Player[0]:5,rank:2, Player[1]:5,rank:2, Player[2]:7,rank:0
[2015/05/02 03:21:52 503]:Player[0]:5,rank:2, Player[1]:5,rank:2, Player[2]:7,rank:0
[2015/05/02 03:21:52 505]:Player[0]:5,rank:2, Player[1]:5,rank:2, Player[2]:7,rank:0
[2015/05/02 03:23:00 328]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:23:00 332]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:23:00 336]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:23:10 831]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:23:10 834]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:23:10 835]:Player[0]:7,rank:0, Player[1]:5,rank:2, Player[2]:5,rank:2
[2015/05/02 03:43:02 889]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:43:02 893]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:43:02 895]:Player[0]:5,rank:0, Player[1]:5,rank:0, Player[2]:5,rank:0
[2015/05/02 03:43:16 349]:Player[0]:5,rank:2, Player[1]:5,rank:2, Player[2]:7,rank:0
[2015/05/02 03:43:16 352]:Player[0]:5,rank:2, Player[1]:5,rank:2, Player[2]:7,rank:0
[2015/05/02 03:43:16 353]:Player[0]:5,rank:2, Player[1]:5,rank:2, Player[2]:7,rank:0
